Operator,Station,Code,Cubic Name,NLC,Gated
Scotrail,Glasgow Central (HL) Pl 7-8,ASR,TOC6693,9813,1
Scotrail,Glasgow Central (HL) Pl 9-10,ASR,TOC6694,9813,1
Scotrail,Glasgow Central (LL),ASR,TOC9922,9813,1
Scotrail,Glasgow Exhibition Centre,ASR,TOC9914,9914,1
Scotrail,Glasgow Queen St (LL)*,ASR,TOC9952,9950,1
Scotrail,Glasgow Queen St*,ASR,TOC9950,9950,1
Scotrail,Haymarket,ASR,TOC9419,9419,1
Scotrail,Inverness,ASR,TOC8649,8649,1
Scotrail,Perth,ASR,TOC8805,8805,1
Scotrail,Stirling,ASR,TOC9888,9888,1
SE,Albany Park,LSER,TOC5132,5132,1
SE,Ashford International,LSER,TOC5466,5004,1
SE,Bexley,LSER,TOC5093,5093,1
SE,Bexley Heath,LSER,TOC5094,5094,1
SE,Bromley South,LSER,TOC5064,5064,1
SE,Cannon Street,LSER,TOC5142,5142,1
SE,Canterbury East,LSER,TOC5164,5164,1
SE,Canterbury West,LSER,TOC5007,5007,1
SE,Charing Cross,LSER,TOC5143,5143,1
SE,Chatham,LSER,TOC5199,5199,1
SE,Crayford,LSER,TOC5100,5100,1
SE,Dartford,LSER,TOC5101,5101,1
SE,Dover Priory,LSER,TOC5033,5033,1
SE,Ebbsfleet International,LSER,TOC5566,5566,1
SE,Eltham,LSER,TOC5103,5103,1
SE,Falconwood,LSER,TOC5137,5137,1
SE,Faversham,LSER,TOC5167,5167,1
SE,Folkstone Central,LSER,TOC5035,5035,1
SE,Gillingham,LSER,TOC5169,5169,1
SE,Gravesend,LSER,TOC5172,5172,1
SE,Greenhithe,LSER,TOC5138,5138,1
SE,Hastings,LSER,TOC5219,5219,1
SE,Lewisham,LSER,TOC5051,5051,1
SE,London Bridge (Pl 1-6),LSER,TOC5148,5148,1
SE,New Cross,LSER,TOC5150,5150,1
SE,New Eltham,LSER,TOC5119,5119,1
SE,Orpington,LSER,TOC5122,5122,1
